0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/resources/css/jquery-nestable.css HTTP/1.1" 200 7609
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/resources/css/my-task.style.min.css HTTP/1.1" 200 380665
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/resources/css/dataTables.bootstrap5.min.css HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/resources/css/responsive.dataTables.min.css HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/resources/images/lg/%EB%A7%88%EC%8A%A4%EC%BD%94%ED%8A%B8_%ED%88%AC%EB%AA%85.png HTTP/1.1" 200 17350
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/company/1/project/projectList HTTP/1.1" 200 60865
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/xs/avatar7.jpg HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/xs/avatar6.jpg HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/xs/avatar1.jpg HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/resources/js/libscripts.bundle.js HTTP/1.1" 200 167191
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/resources/js/nestable.bundle.js HTTP/1.1" 200 18082
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/resources/js/apexcharts.bundle.js HTTP/1.1" 200 486412
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/resources/js/template.js HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/resources/js/task.js HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/resources/js/dataTables.bundle.js HTTP/1.1" 200 101003
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/resources/js/todo.js HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/resources/js/index.js HTTP/1.1" 200 7770
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 64340
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/profile_av.png HTTP/1.1" 200 8547
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:07 +0900] "GET /ourmine/resources/fonts/icofont.woff HTTP/1.1" 200 645604
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:08 +0900] "GET /ourmine/company/1/project/projectMemberJson HTTP/1.1" 200 6175
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:08 +0900] "GET /ourmine/company/1/project/projectListJson HTTP/1.1" 200 1218
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:08 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/xs/avatar7.jpg HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89947
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/css/jquery-nestable.css HTTP/1.1" 200 7609
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/css/responsive.dataTables.min.css HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/js/jquery.serializeObject.min.js HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/css/my-task.style.min.css HTTP/1.1" 200 380665
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/css/dataTables.bootstrap5.min.css HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/images/lg/%EB%A7%88%EC%8A%A4%EC%BD%94%ED%8A%B8_%ED%88%AC%EB%AA%85.png HTTP/1.1" 200 17350
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/company/1/project/1/home HTTP/1.1" 200 26391
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/xs/avatar6.jpg HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/xs/avatar7.jpg HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/xs/avatar1.jpg HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/js/libscripts.bundle.js HTTP/1.1" 200 167191
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/js/nestable.bundle.js HTTP/1.1" 200 18082
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/js/dataTables.bundle.js HTTP/1.1" 200 101003
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/js/apexcharts.bundle.js HTTP/1.1" 200 486412
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/js/template.js HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/js/task.js HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/js/todo.js HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/js/index.js HTTP/1.1" 200 7770
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 64340
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/company/1/project/1/boardType/boardTypeList HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/profile_av.png HTTP/1.1" 200 8547
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:09 +0900] "GET /ourmine/resources/fonts/icofont.woff HTTP/1.1" 200 645604
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:11 +0900] "GET /ourmine/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89947
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:11 +0900] "GET /ourmine/resources/js/jquery.serializeObject.min.js HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:11 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:11 +0900] "GET /ourmine/resources/css/jquery-nestable.css HTTP/1.1" 200 7609
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:11 +0900] "GET /ourmine/resources/css/dataTables.bootstrap5.min.css HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:11 +0900] "GET /ourmine/resources/css/responsive.dataTables.min.css HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:11 +0900] "GET /ourmine/resources/css/my-task.style.min.css HTTP/1.1" 200 380665
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:11 +0900] "GET /ourmine/resources/images/lg/%EB%A7%88%EC%8A%A4%EC%BD%94%ED%8A%B8_%ED%88%AC%EB%AA%85.png HTTP/1.1" 200 17350
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:11 +0900] "GET /ourmine/resources/fonts/icofont.woff HTTP/1.1" 200 645604
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:12 +0900] "GET /ourmine/company/1/project/1/projectTodoList HTTP/1.1" 200 43387
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:12 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/xs/avatar1.jpg HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:12 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/xs/avatar6.jpg HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:12 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/xs/avatar7.jpg HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:12 +0900] "GET /ourmine/resources/js/nestable.bundle.js HTTP/1.1" 200 18082
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:12 +0900] "GET /ourmine/resources/js/libscripts.bundle.js HTTP/1.1" 200 167191
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:12 +0900] "GET /ourmine/resources/js/template.js HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:12 +0900] "GET /ourmine/resources/js/apexcharts.bundle.js HTTP/1.1" 200 486412
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:12 +0900] "GET /ourmine/resources/js/dataTables.bundle.js HTTP/1.1" 200 101003
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:12 +0900] "GET /ourmine/resources/js/index.js HTTP/1.1" 200 7770
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:12 +0900] "GET /ourmine/resources/js/task.js HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:12 +0900] "GET /ourmine/resources/js/todo.js HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:12 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 64340
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:12 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:12 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/profile_av.png HTTP/1.1" 200 8547
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:12 +0900] "GET /ourmine/company/1/project/1/boardType/boardTypeList HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [27/May/2023:09:06:12 +0900] "GET /ourmine/company/1/project/1/projectTodoList/projectWorkList HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/css/responsive.dataTables.min.css HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/css/dataTables.bootstrap5.min.css HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/css/jquery-nestable.css HTTP/1.1" 200 7609
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/css/my-task.style.min.css HTTP/1.1" 200 380665
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/js/jquery.serializeObject.min.js HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89947
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/images/lg/%EB%A7%88%EC%8A%A4%EC%BD%94%ED%8A%B8_%ED%88%AC%EB%AA%85.png HTTP/1.1" 200 17350
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/company/1/project/1/projectTodoList HTTP/1.1" 200 43385
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/xs/avatar1.jpg HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/js/libscripts.bundle.js HTTP/1.1" 200 167191
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/js/apexcharts.bundle.js HTTP/1.1" 200 486412
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/js/nestable.bundle.js HTTP/1.1" 200 18082
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/js/dataTables.bundle.js HTTP/1.1" 200 101003
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/js/template.js HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/js/task.js HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/js/todo.js HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/js/index.js HTTP/1.1" 200 7770
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 64340
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/xs/avatar6.jpg HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:15 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/xs/avatar7.jpg HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:16 +0900] "GET /ourmine/resources/fonts/icofont.woff HTTP/1.1" 200 645604
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:16 +0900] "GET /ourmine/company/1/project/1/boardType/boardTypeList HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:16 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:16 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/profile_av.png HTTP/1.1" 200 8547
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:16 +0900] "GET /ourmine/company/1/project/1/projectTodoList/projectWorkList HTTP/1.1" 200 1077
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:16 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [27/May/2023:09:07:23 +0900] "GET /ourmine/company/1/project/1/projectTodoList/todoList?projectWorkId=142 HTTP/1.1" 200 4133
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/js/jquery.serializeObject.min.js HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/css/jquery-nestable.css HTTP/1.1" 200 7609
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/js/jquery-3.6.3.min.js HTTP/1.1" 200 89947
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 20713
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/css/my-task.style.min.css HTTP/1.1" 200 380665
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/css/dataTables.bootstrap5.min.css HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/css/responsive.dataTables.min.css HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/images/lg/%EB%A7%88%EC%8A%A4%EC%BD%94%ED%8A%B8_%ED%88%AC%EB%AA%85.png HTTP/1.1" 200 17350
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/company/1/project/1/projectTodoList HTTP/1.1" 200 43597
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/js/libscripts.bundle.js HTTP/1.1" 200 167191
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/js/apexcharts.bundle.js HTTP/1.1" 200 486412
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/js/nestable.bundle.js HTTP/1.1" 200 18082
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/js/dataTables.bundle.js HTTP/1.1" 200 101003
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/js/template.js HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/js/task.js HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/js/todo.js HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/js/index.js HTTP/1.1" 200 7770
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/js/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 64340
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/xs/avatar1.jpg HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/xs/avatar6.jpg HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/mytask/documentation/assets/images/xs/avatar7.jpg HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/resources/fonts/icofont.woff HTTP/1.1" 200 645604
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/member/memberViewJson HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [27/May/2023:09:08:35 +0900] "GET /ourmine/company/1/project/1/boardType/boardTypeList HTTP/1.1" 200 411
